month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,IMPORT,23,FOOD INDUSTRY RESIDUES & WASTE; PREP ANIMAL F,440216418,9.19,-1.89,2026-04-27T23:05:12Z
2026-01,IMPORT,25,SALT; SULFUR; EARTH & STONE; LIME & CEMENT PL,425997601,2.02,17.52,2026-04-27T23:05:12Z
2026-01,IMPORT,17,SUGARS AND SUGAR CONFECTIONARY,417852402,-13.16,-22.06,2026-04-27T23:05:12Z
2026-01,IMPORT,49,"PRINTED BOOKS, NEWSPAPERS ETC; MANUSCRIPTS ET",404659650,0.02,0.75,2026-04-27T23:05:12Z
2026-01,IMPORT,06,"LIVE TREES, PLANTS, BULBS ETC.; CUT FLOWERS E",363355050,46.10,-15.46,2026-04-27T23:05:12Z
2026-01,IMPORT,32,"TANNING & DYE EXT ETC; DYE, PAINT, PUTTY ETC;",349732177,2.75,-17.42,2026-04-27T23:05:12Z
2026-01,IMPORT,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,309484343,0.83,-14.46,2026-04-27T23:05:12Z
2026-01,IMPORT,35,ALBUMINOIDAL SUBST; MODIFIED STARCH; GLUE; EN,282050892,-9.12,-15.53,2026-04-27T23:05:12Z
2026-01,IMPORT,75,NICKEL AND ARTICLES THEREOF,271544169,-0.53,-10.33,2026-04-27T23:05:12Z
2026-01,IMPORT,10,CEREALS,268709152,12.25,-20.23,2026-04-27T23:05:12Z
2026-01,IMPORT,04,DAIRY PRODS; BIRDS EGGS; HONEY; ED ANIMAL PR ,268688305,-10.79,-29.25,2026-04-27T23:05:12Z
2026-01,IMPORT,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES TH,257048205,-22.19,-5.31,2026-04-27T23:05:12Z
2026-01,IMPORT,47,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & P,253197538,-14.14,-33.73,2026-04-27T23:05:12Z
2026-01,IMPORT,01,LIVE ANIMALS,250857929,-15.47,-33.61,2026-04-27T23:05:12Z
2026-01,IMPORT,24,TOBACCO & SUBS;PROD FOR INHAL W/O COMBUST;NIC,248629374,-11.38,12.80,2026-04-27T23:05:12Z
2026-01,IMPORT,65,HEADGEAR AND PARTS THEREOF,243580286,-3.50,-13.94,2026-04-27T23:05:12Z
2026-01,IMPORT,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,241051965,-2.51,-15.00,2026-04-27T23:05:12Z
2026-01,IMPORT,56,"WADDING, FELT ETC; SP YARN; TWINE, ROPES ETC.",227047732,-2.34,-11.14,2026-04-27T23:05:12Z
2026-01,IMPORT,79,ZINC AND ARTICLES THEREOF,216361150,-7.91,13.12,2026-04-27T23:05:12Z
2026-01,IMPORT,59,IMPREGNATED ETC TEXT FABRICS; TEX ART FOR IND,199963785,-2.21,-15.62,2026-04-27T23:05:12Z
2026-01,IMPORT,67,"PREP FEATHERS, DOWN ETC; ARTIF FLOWERS; H HAI",193189833,17.76,-20.90,2026-04-27T23:05:12Z
2026-01,IMPORT,12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLAN",188949852,-6.12,-21.92,2026-04-27T23:05:12Z
2026-01,IMPORT,26,"ORES, SLAG AND ASH",164772492,-37.84,-43.08,2026-04-27T23:05:12Z
2026-01,IMPORT,11,MILLING PRODUCTS; MALT; STARCH; INULIN; WHT G,163918870,3.61,-20.86,2026-04-27T23:05:12Z
2026-01,IMPORT,89,"SHIPS, BOATS AND FLOATING STRUCTURES",156821867,1.52,-41.91,2026-04-27T23:05:12Z
2026-01,IMPORT,55,"MANMADE STAPLE FIBERS, INCL YARNS & WOVEN FAB",123068361,10.70,-0.30,2026-04-27T23:05:12Z
