ticker,cik,company,filed_date,form,phrase,filing_url
PSPX,0001765651,Pacific Sports Exchange Inc.  (PSPX)  (CIK 0001765651),2026-04-21,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/1765651/000164033426000784:pse_10q.htm/0001640334-26-000784:pse_10q.htm-index.html
,0000067887,"MOOG INC.  (MOG-A, MOG-B)  (CIK 0000067887)",2026-04-24,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/67887/000162828026027030:ex99142426.htm/0001628280-26-027030:ex991-42426.htm-index.html
,0001462120,"Live Oak Bancshares, Inc.  (LOB, LOB-PA)  (CIK 0001462120)",2026-04-22,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1462120/000146212026000036:lob20260422exx991.htm/0001462120-26-000036:lob-20260422exx991.htm-index.html
EHSI,0001089815,Elite Health Systems Inc.  (EHSI)  (CIK 0001089815),2026-04-15,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1089815/000143774926012312:ehsi20251231_10k.htm/0001437749-26-012312:ehsi20251231_10k.htm-index.html
CBNK,0001419536,Capital Bancorp Inc  (CBNK)  (CIK 0001419536),2026-04-27,8-K,material weakness,https://www.sec.gov/Archives/edgar/data/1419536/000141953626000097:investoroverview3312026.htm/0001419536-26-000097:investoroverview3312026.htm-index.html
ASFT,0001651992,"Appsoft Technologies, Inc.  (ASFT)  (CIK 0001651992)",2026-04-27,10-K,material weakness,https://www.sec.gov/Archives/edgar/data/1651992/000147793226002564:asft_10k.htm/0001477932-26-002564:asft_10k.htm-index.html
PAPL,0001938109,Pineapple Financial Inc.  (PAPL)  (CIK 0001938109),2026-04-13,10-Q,material weakness,https://www.sec.gov/Archives/edgar/data/1938109/000149315226016374:form10q.htm/0001493152-26-016374:form10-q.htm-index.html
,0001853047,Hudson Acquisition I Corp.  (CIK 0001853047),2026-04-24,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1853047/000121390026047494:ea028659501ex971.htm/0001213900-26-047494:ea028659501ex97-1.htm-index.html
IPST,0001788230,"IP STRATEGY HOLDINGS, INC.  (IPST)  (CIK 0001788230)",2026-04-14,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1788230/000178823026000046:ex97xclawbackpolicy.htm/0001788230-26-000046:ex-97xclawbackpolicy.htm-index.html
BBW,0001113809,BUILD-A-BEAR WORKSHOP INC  (BBW)  (CIK 0001113809),2026-04-16,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1113809/000143774926012501:ex_900902.htm/0001437749-26-012501:ex_900902.htm-index.html
JFB,0002024306,JFB Construction Holdings  (JFB)  (CIK 0002024306),2026-04-21,10-K/A,restatement,https://www.sec.gov/Archives/edgar/data/2024306/000149315226018321:ex971.htm/0001493152-26-018321:ex97-1.htm-index.html
ARAI,0001818274,Arrive AI Inc.  (ARAI)  (CIK 0001818274),2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1818274/000149315226016808:ex971.htm/0001493152-26-016808:ex97-1.htm-index.html
IQST,0001527702,iQSTEL Inc  (IQST)  (CIK 0001527702),2026-04-23,10-K/A,restatement,https://www.sec.gov/Archives/edgar/data/1527702/000166357726000112:ex97_1.htm/0001663577-26-000112:ex97_1.htm-index.html
FJET,0001947016,"Starfighters Space, Inc.  (FJET)  (CIK 0001947016)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1947016/000106299326002001:exhibit971.htm/0001062993-26-002001:exhibit97-1.htm-index.html
VNCE,0001579157,VINCE HOLDING CORP.  (VNCE)  (CIK 0001579157),2026-04-16,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1579157/000119312526158986:vnceex97_1.htm/0001193125-26-158986:vnce-ex97_1.htm-index.html
GLOO,0002069785,"Gloo Holdings, Inc.  (GLOO)  (CIK 0002069785)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/2069785/000119312526156999:glooex97_1.htm/0001193125-26-156999:gloo-ex97_1.htm-index.html
SLSN,0000883107,"SOLESENCE, INC.  (SLSN)  (CIK 0000883107)",2026-04-23,10-K/A,restatement,https://www.sec.gov/Archives/edgar/data/883107/000199937126008861:ex971.htm/0001999371-26-008861:ex97-1.htm-index.html
,0002050501,"Blue Water Acquisition Corp. III  (BLUW, BLUWU, BLUWW)  (CIK 0002050501)",2026-04-14,10-K,restatement,https://www.sec.gov/Archives/edgar/data/2050501/000110465926043320:bluw20251231xex97d1.htm/0001104659-26-043320:bluw-20251231xex97d1.htm-index.html
,0002040475,"Drugs Made In America Acquisition II Corp.  (DMII, DMIIR, DMIIU)  (CIK 0002040475)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/2040475/000121390026044055:ea028546801ex971.htm/0001213900-26-044055:ea028546801ex97-1.htm-index.html
,0002035016,"Ribbon Acquisition Corp.  (RIBB, RIBBR, RIBBU)  (CIK 0002035016)",2026-04-24,10-K/A,restatement,https://www.sec.gov/Archives/edgar/data/2035016/000121390026047214:ea028745301ex971.htm/0001213900-26-047214:ea028745301ex97-1.htm-index.html
CUEN,0001424657,Cuentas Inc.  (CUEN)  (CIK 0001424657),2026-04-23,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1424657/000121390026046789:ea028604901ex971.htm/0001213900-26-046789:ea028604901ex97-1.htm-index.html
,0001859807,"Profusa, Inc.  (PFSA, NVACW)  (CIK 0001859807)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1859807/000121390026044046:ea028281301ex192.htm/0001213900-26-044046:ea028281301ex19-2.htm-index.html
,0002033991,"Texas Ventures Acquisition III Corp  (TVA, TVACU, TVACW)  (CIK 0002033991)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/2033991/000110465926043863:tva20251231xex97d1.htm/0001104659-26-043863:tva-20251231xex97d1.htm-index.html
WLTH,0001524566,WEALTHFRONT CORP  (WLTH)  (CIK 0001524566),2026-04-24,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1524566/000162828026027232:wealthfrontex971compens.htm/0001628280-26-027232:wealthfront-ex971compens.htm-index.html
DRVN,0001804745,Driven Brands Holdings Inc.  (DRVN)  (CIK 0001804745),2026-04-21,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1804745/000180474526000026:a991drvnpreliminaryearn.htm/0001804745-26-000026:a991drvn-preliminaryearn.htm-index.html
,0002079013,"Hall Chadwick Acquisition Corp  (HCAC, HCACR, HCACU)  (CIK 0002079013)",2026-04-15,10-K,restatement,https://www.sec.gov/Archives/edgar/data/2079013/000182912626003527:hallchadwickacq_ex97.htm/0001829126-26-003527:hallchadwickacq_ex97.htm-index.html
RIOT,0001167419,"Riot Platforms, Inc.  (RIOT)  (CIK 0001167419)",2026-04-27,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1167419/000110465926049432:riot20260421xex10.htm/0001104659-26-049432:riot-20260421xex10.htm-index.html
TAAG,0001386044,"Awareness Group, Inc.  (TAAG)  (CIK 0001386044)",2026-04-16,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1386044/000147793226002310:fhld_10k.htm/0001477932-26-002310:fhld_10k.htm-index.html
BGLC,0001737523,BioNexus Gene Lab Corp  (BGLC)  (CIK 0001737523),2026-04-14,10-K,restatement,https://www.sec.gov/Archives/edgar/data/1737523/000147793226002218:bglc_ex97.htm/0001477932-26-002218:bglc_ex97.htm-index.html
PAXH,0001350156,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.  (PAXH)  (CIK 0001350156),2026-04-21,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1350156/000107997326000518:paxh_8k.htm/0001079973-26-000518:paxh_8k.htm-index.html
TDG,0001260221,TransDigm Group INC  (TDG)  (CIK 0001260221),2026-04-17,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1260221/000119312526161564:d108525dex101.htm/0001193125-26-161564:d108525dex101.htm-index.html
,0001818502,"OppFi Inc.  (OPFI, OPFI-WT)  (CIK 0001818502)",2026-04-16,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1818502/000181850226000023:exhibit101_blueowlopploan.htm/0001818502-26-000023:exhibit101_blueowl-opploan.htm-index.html
SMCI,0001375365,"Super Micro Computer, Inc.  (SMCI)  (CIK 0001375365)",2026-04-20,8-K,restatement,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000012:smci20260415.htm/0001375365-26-000012:smci-20260415.htm-index.html
