country,iso3,indicator,year,value_pct,yoy_delta,captured_at
AZE,AZE,cpi_infl_pct,2020,2.800,+0.200,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2021,6.700,+3.900,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2022,13.900,+7.200,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2023,8.800,-5.100,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2024,2.200,-6.600,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2025,5.600,+3.400,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2026,6.000,+0.400,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2027,5.100,-0.900,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2028,4.100,-1.000,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2029,4.000,-0.100,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2030,4.000,+0.000,2026-04-27T23:10:43Z
AZE,AZE,cpi_infl_pct,2031,4.000,+0.000,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2016,1.200,-0.100,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2017,2.000,+0.800,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2018,1.900,-0.100,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2019,1.600,-0.300,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2020,1.000,-0.600,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2021,3.000,+2.000,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2022,6.700,+3.700,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2023,5.600,-1.100,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2024,3.100,-2.500,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2025,2.900,-0.200,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2026,3.900,+1.000,2026-04-27T23:10:43Z
AZQ,AZQ,cpi_infl_pct,2027,3.000,-0.900,2026-04-27T23:10:43Z
