country,iso2,period,hicp_annual_pct,mom_delta,captured_at
France,FR,2024-12,1.80,+0.10,2026-04-27T23:10:44Z
France,FR,2025-01,1.80,+0.00,2026-04-27T23:10:44Z
France,FR,2025-02,0.90,-0.90,2026-04-27T23:10:44Z
France,FR,2025-03,0.90,+0.00,2026-04-27T23:10:44Z
France,FR,2025-04,0.90,+0.00,2026-04-27T23:10:44Z
France,FR,2025-05,0.60,-0.30,2026-04-27T23:10:44Z
France,FR,2025-06,0.90,+0.30,2026-04-27T23:10:44Z
France,FR,2025-07,0.90,+0.00,2026-04-27T23:10:44Z
France,FR,2025-08,0.80,-0.10,2026-04-27T23:10:44Z
France,FR,2025-09,1.10,+0.30,2026-04-27T23:10:44Z
France,FR,2025-10,0.80,-0.30,2026-04-27T23:10:44Z
France,FR,2025-11,0.80,+0.00,2026-04-27T23:10:44Z
France,FR,2025-12,0.70,-0.10,2026-04-27T23:10:44Z
Ireland,IE,2023-01,7.50,,2026-04-27T23:10:44Z
Ireland,IE,2023-02,8.10,+0.60,2026-04-27T23:10:44Z
Ireland,IE,2023-03,7.00,-1.10,2026-04-27T23:10:44Z
Ireland,IE,2023-04,6.30,-0.70,2026-04-27T23:10:44Z
Ireland,IE,2023-05,5.40,-0.90,2026-04-27T23:10:44Z
Ireland,IE,2023-06,4.80,-0.60,2026-04-27T23:10:44Z
Ireland,IE,2023-07,4.60,-0.20,2026-04-27T23:10:44Z
Ireland,IE,2023-08,4.90,+0.30,2026-04-27T23:10:44Z
Ireland,IE,2023-09,5.00,+0.10,2026-04-27T23:10:44Z
Ireland,IE,2023-10,3.60,-1.40,2026-04-27T23:10:44Z
Ireland,IE,2023-11,2.50,-1.10,2026-04-27T23:10:44Z
Ireland,IE,2023-12,3.20,+0.70,2026-04-27T23:10:44Z
Ireland,IE,2024-01,2.70,-0.50,2026-04-27T23:10:44Z
Ireland,IE,2024-02,2.30,-0.40,2026-04-27T23:10:44Z
Ireland,IE,2024-03,1.70,-0.60,2026-04-27T23:10:44Z
Ireland,IE,2024-04,1.60,-0.10,2026-04-27T23:10:44Z
Ireland,IE,2024-05,2.00,+0.40,2026-04-27T23:10:44Z
Ireland,IE,2024-06,1.50,-0.50,2026-04-27T23:10:44Z
Ireland,IE,2024-07,1.50,+0.00,2026-04-27T23:10:44Z
Ireland,IE,2024-08,1.10,-0.40,2026-04-27T23:10:44Z
