recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
Z-1568-2026,Class I,device,Erbe USA Inc,"Flexible Cryoprobe (OD 2.4mm, L1.15mm)  REF: 20402-411. For surgical use",Probes  may rupture/burst during activation,2026-02-12,Ongoing,2026-04-27T23:01:55Z
Z-1610-2026,Class II,device,Olympus Corporation of the Americas,Olympus Endoscope Suction Valve - MAJ-1443. Model Number: MAJ-1443.,The MAJ-1443 and MAJ-1444 are no longer reprocessing compatible with the OER-Pro and OER-Elite automated endoscope reprocessors.,2026-02-12,Ongoing,2026-04-27T23:01:55Z
H-0543-2026,Class I,food,"Juniper Granola, LLC","Junebar Chocolate Cherry All Natural Snack Bar; INGREDIENTS: ORGANIC ALMOND BUTTER, DATE PASTE, ORGANIC BLACK BEANS, ORGANIC SWEET POTATOES,",Products contain undeclared milk and soy.,2026-02-11,Ongoing,2026-04-27T23:01:55Z
H-0542-2026,Class I,food,"Juniper Granola, LLC","Junebar Peanut Chocolate Chip All Natural Snack Bar; INGREDIENTS: ORGANIC PEANUT BUTTER, DATE PASTE, ORGANIC BLACK BEANS, ORGANIC SWEET POTA",Products contain undeclared milk and soy.,2026-02-11,Ongoing,2026-04-27T23:01:55Z
N/A,Class I,food,"Shaman Botanicals, LLC","Product label reads in part as ""WHITE VEIN ADVANCED ALKALOIDS CHEWABLE TABLETS 225mg 7-Hydroxymitragynine per container (7.5mg 7-OH per serv",A sample of the product revealed the active ingredient is in a quantity greater than the labeled specification.,2026-02-11,Ongoing,2026-04-27T23:01:55Z
Z-1757-2026,Class II,device,"Burlington Medical, LLC","Burlington Medical, Wrap Aprons.","Potential for attenuation degradation over time, decreasing the lifespan.",2026-02-11,Ongoing,2026-04-27T23:01:55Z
Z-1761-2026,Class II,device,"Burlington Medical, LLC","Burlington Medical, Leg Wraps.","Potential for attenuation degradation over time, decreasing the lifespan.",2026-02-11,Ongoing,2026-04-27T23:01:55Z
D-0339-2026,Class II,drug,LEO PHARMA INC,"Adbry, (tralokinumab-ldrm) injection, 300 mg/2mL, Packaged as a) 1 x Single dose Autoinjector, SAMPLE NOT FOR SALE, NDC 50222-350-91; b) 2 x","Lack of Assurance of Sterility: due to the presence of particulate matter in one unit from the lot, which lab tests have identified as wool ",2026-02-10,Ongoing,2026-04-27T23:01:55Z
H-0541-2026,Class II,food,"SLADE GORTON & CO., INC.",Wellsley Farms Farm- Raised Atlantic Salmon Net WT. 32 oz. (2 lbs.) 907 g,Contaminated with Listeria monocytogenes,2026-02-10,Ongoing,2026-04-27T23:01:55Z
H-0540-2026,Class II,food,"Italianway Import, Inc.","VERGANI 1944 MILANO 'PANDORO CLASSICO' Gluten Free, 600g NET WT. 1 LBS. 5.2 OZ., packaged in paper cartons, 6 units per case. Lot 217666, UP",Potential contamination with foreign material (Teflon fragments) from flaking cooking molds.,2026-02-10,Ongoing,2026-04-27T23:01:55Z
Z-1629-2026,Class II,device,"Orthalign, Inc","Drill Plate, Ortho Dev. Trimax - Pegged, PREF Size 1 -5  REF:402566  component Lantern Knee System","Drill plates manufactured out of specification can result in a bone cut in excess 00800""(2.8448mm)",2026-02-10,Ongoing,2026-04-27T23:01:55Z
Z-1630-2026,Class II,device,"Orthalign, Inc","Drill Plate, Ortho Dev. Trimax - Pegged, PREF Size 6-7  REF:402567  component Lantern Knee System","Drill plates manufactured out of specification can result in a bone cut in excess 00800""(2.8448mm)",2026-02-10,Ongoing,2026-04-27T23:01:55Z
H-0516-2026,Class II,food,H & N Group Inc.,"Frozen Cooked Medium Shrimp Peeled & Deveined, Tail Off-White Shrimp; 1 lbs retail plastic bag.  UPC: 041220333035",Product manufactured under insanitary conditions whereby it may have been contaminated with Cesium-137 (Cs-137),2026-02-09,Ongoing,2026-04-27T23:01:55Z
H-0535-2026,Class II,food,"Valley Springs Artesian Gold, LLC","Valley Springs 100% Natural Bottled Water.  Fluoride Added.  1 Gal Net, 128 Fl. Oz.  UPC 0 31193-01301 0.  Bottled by Valley Springs/Artesia",Water was bottled under insanitary conditions.,2026-02-06,Ongoing,2026-04-27T23:01:55Z
