category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
AUTHNOTSTD,MULTI,2024-12,129,-5.84,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-01,132,2.33,,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-02,133,0.76,6.40,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-03,118,-11.28,-8.53,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-04,117,-0.85,-10.00,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-05,120,2.56,-6.98,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-06,120,0.00,-9.77,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-07,114,-5.00,-16.18,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-08,111,-2.63,-17.16,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-09,107,-3.60,-21.32,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-10,112,4.67,-13.18,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-11,113,0.89,-17.52,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2025-12,119,5.31,-7.75,2026-04-27T23:10:23Z
AUTHNOTSTD,MULTI,2026-01,110,-7.56,-16.67,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-02,141,,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-03,138,-2.13,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-04,138,0.00,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-05,137,-0.72,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-06,135,-1.46,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-07,143,5.93,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-08,144,0.70,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-09,143,-0.69,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-10,143,0.00,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-11,145,1.40,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2024-12,142,-2.07,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-01,146,2.82,,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-02,140,-4.11,-0.71,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-03,146,4.29,5.80,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-04,147,0.68,6.52,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-05,145,-1.36,5.84,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-06,140,-3.45,3.70,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-07,136,-2.86,-4.90,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-08,134,-1.47,-6.94,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-09,142,5.97,-0.70,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-10,140,-1.41,-2.10,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-11,143,2.14,-1.38,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2025-12,139,-2.80,-2.11,2026-04-27T23:10:23Z
AUTHNOTSTD,SINGLE,2026-01,139,0.00,-4.79,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-02,270,,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-03,272,0.74,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-04,274,0.74,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-05,272,-0.73,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-06,275,1.10,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-07,287,4.36,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-08,284,-1.05,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-09,285,0.35,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-10,278,-2.46,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-11,288,3.60,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2024-12,276,-4.17,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-01,283,2.54,,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-02,277,-2.12,2.59,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-03,268,-3.25,-1.47,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-04,268,0.00,-2.19,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-05,269,0.37,-1.10,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-06,263,-2.23,-4.36,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-07,253,-3.80,-11.85,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-08,248,-1.98,-12.68,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-09,253,2.02,-11.23,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-10,256,1.19,-7.91,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-11,259,1.17,-10.07,2026-04-27T23:10:23Z
AUTHNOTSTD,TOTAL,2025-12,261,0.77,-5.43,2026-04-27T23:10:23Z
