kind,ticker,cik,company,file_date,accession_id,captured_at
special_dividend,SND,0001529628,"Smart Sand, Inc.",2026-04-09,0001529628-26-000014,2026-04-27T22:50:37Z
spinoff,ZPTA,0001843714,"Zapata Quantum, Inc.",2026-04-08,0001079973-26-000454,2026-04-27T22:50:37Z
special_dividend,ZPTA,0001843714,"Zapata Quantum, Inc.",2026-04-08,0001079973-26-000454,2026-04-27T22:50:37Z
special_dividend,VISN,0001517228,"Vistance Networks, Inc.",2026-04-08,0001193125-26-147622,2026-04-27T22:50:37Z
special_dividend,NUAI,0002028336,"New ERA Energy & Digital, Inc.",2026-04-08,0001213900-26-041499,2026-04-27T22:50:37Z
warrant_exercise,KPRX,0001372514,KIORA PHARMACEUTICALS INC,2026-04-07,0001372514-26-000036,2026-04-27T22:50:37Z
warrant_exercise,,,KPET Ultra Paceline Corp  (CIK 0002095297),2026-04-07,0001213900-26-041088,2026-04-27T22:50:37Z
spinoff,VNO,0000899689,VORNADO REALTY TRUST,2026-04-07,0000899689-26-000016,2026-04-27T22:50:37Z
spinoff,KPRX,0001372514,KIORA PHARMACEUTICALS INC,2026-04-07,0001372514-26-000036,2026-04-27T22:50:37Z
spinoff,IAC,0001800227,IAC Inc.,2026-04-07,0001628280-26-024065,2026-04-27T22:50:37Z
special_dividend,IAC,0001800227,IAC Inc.,2026-04-07,0001628280-26-024065,2026-04-27T22:50:37Z
warrant_exercise,QADR,0002083217,QDRO Acquisition Corp.,2026-04-06,0001213900-26-040358,2026-04-27T22:50:37Z
warrant_exercise,IPFX,0002102041,Inflection Point Acquisition Corp. VI,2026-04-06,0001213900-26-040135,2026-04-27T22:50:37Z
spinoff,MUSA,0001573516,Murphy USA Inc.,2026-04-06,0001573516-26-000123,2026-04-27T22:50:37Z
spinoff,APTV,0001521332,Aptiv PLC,2026-04-06,0001521332-26-000037,2026-04-27T22:50:37Z
special_dividend,APTV,0001521332,Aptiv PLC,2026-04-06,0000950103-26-005345,2026-04-27T22:50:37Z
warrant_exercise,VVOS,0001716166,"Vivos Therapeutics, Inc.",2026-04-03,0001493152-26-015132,2026-04-27T22:50:37Z
warrant_exercise,ENTX,0001638097,Entera Bio Ltd.,2026-04-03,0001178913-26-002001,2026-04-27T22:50:37Z
spinoff,TRAX,0002091349,"First Tracks Biotherapeutics, Inc.",2026-04-03,0001193125-26-140835,2026-04-27T22:50:37Z
special_dividend,BKTI,0000002186,BK Technologies Corp,2026-04-03,0001437749-26-011287,2026-04-27T22:50:37Z
warrant_exercise,VEEA,0001840317,VEEA INC.,2026-04-02,0001213900-26-038861,2026-04-27T22:50:37Z
warrant_exercise,OSTX,0001795091,OS Therapies Inc,2026-04-02,0001213900-26-039529,2026-04-27T22:50:37Z
warrant_exercise,HOTH,0001711786,"Hoth Therapeutics, Inc.",2026-04-02,0001213900-26-039363,2026-04-27T22:50:37Z
warrant_exercise,,,KPET Ultra Paceline Corp  (CIK 0002095297),2026-04-02,0001213900-26-039471,2026-04-27T22:50:37Z
spinoff,BDX,0000010795,BECTON DICKINSON & CO,2026-04-02,0001628280-26-023185,2026-04-27T22:50:37Z
spinoff,AYTU,0001385818,"AYTU BIOPHARMA, INC",2026-04-02,0001437749-26-011116,2026-04-27T22:50:37Z
special_dividend,RMR,0001644378,RMR GROUP INC.,2026-04-02,0001104659-26-038911,2026-04-27T22:50:37Z
special_dividend,CBL,0000910612,CBL & ASSOCIATES PROPERTIES INC,2026-04-02,0001193125-26-139801,2026-04-27T22:50:37Z
warrant_exercise,QADR,0002083217,QDRO Acquisition Corp.,2026-04-01,0001213900-26-038597,2026-04-27T22:50:37Z
warrant_exercise,FSUN,0001709442,FIRSTSUN CAPITAL BANCORP,2026-04-01,0001552781-26-000187,2026-04-27T22:50:37Z
warrant_exercise,FFWM,0001413837,First Foundation Inc.,2026-04-01,0001104659-26-038418,2026-04-27T22:50:37Z
warrant_exercise,CVKD,0001937993,"Cadrenal Therapeutics, Inc.",2026-04-01,0001213900-26-038014,2026-04-27T22:50:37Z
spinoff,VGNT,0002078008,Versigent PLC,2026-04-01,0001193125-26-138219,2026-04-27T22:50:37Z
spinoff,PHGE,0001739174,BiomX Inc.,2026-04-01,0001213900-26-038095,2026-04-27T22:50:37Z
spinoff,MIDD,0000769520,MIDDLEBY Corp,2026-04-01,0001193125-26-135768,2026-04-27T22:50:37Z
spinoff,KDP,0001418135,Keurig Dr Pepper Inc.,2026-04-01,0001193125-26-135642,2026-04-27T22:50:37Z
spinoff,CGEH,0001009759,"Capstone Green Energy Holdings, Inc.",2026-04-01,0001104659-26-038627,2026-04-27T22:50:37Z
spinoff,APTV,0001521332,Aptiv PLC,2026-04-01,0001193125-26-138225,2026-04-27T22:50:37Z
warrant_exercise,NDRA,0001681682,ENDRA Life Sciences Inc.,2026-03-31,0001213900-26-037497,2026-04-27T22:50:37Z
warrant_exercise,IPFX,0002102041,Inflection Point Acquisition Corp. VI,2026-03-31,0001213900-26-037559,2026-04-27T22:50:37Z
warrant_exercise,GOVX,0000832489,"GeoVax Labs, Inc.",2026-03-31,0001437749-26-010733,2026-04-27T22:50:37Z
warrant_exercise,DTCX,0001853825,"Datacentrex, Inc.",2026-03-31,0001493152-26-014226,2026-04-27T22:50:37Z
warrant_exercise,CYAB,0002032341,"CYABRA, INC.",2026-03-31,0001213900-26-036722,2026-04-27T22:50:37Z
spinoff,ZBIO,0001953926,"Zenas BioPharma, Inc.",2026-03-31,0001104659-26-037821,2026-04-27T22:50:37Z
spinoff,IPW,0001830072,iPower Inc.,2026-03-31,0001683168-26-002537,2026-04-27T22:50:37Z
spinoff,DSS,0000771999,"DSS, INC.",2026-03-31,0001493152-26-014289,2026-04-27T22:50:37Z
spinoff,AMRZ,0002035989,Amrize Ltd,2026-03-31,0001140361-26-012350,2026-04-27T22:50:37Z
spinoff,,,Keenova Therapeutics plc  (CIK 0001567892),2026-03-31,0001628280-26-022200,2026-04-27T22:50:37Z
warrant_exercise,PMNT,0001849221,Perfect Moment Ltd.,2026-03-30,0001493152-26-013556,2026-04-27T22:50:37Z
warrant_exercise,LNAI,0001527728,Lunai Bioworks Inc.,2026-03-30,0001731122-26-000502,2026-04-27T22:50:37Z
warrant_exercise,IMSR,0002019804,Terrestrial Energy Inc. /DE/,2026-03-30,0001104659-26-036467,2026-04-27T22:50:37Z
warrant_exercise,ARTL,0001621221,"ARTELO BIOSCIENCES, INC.",2026-03-30,0001640334-26-000574,2026-04-27T22:50:37Z
warrant_exercise,APRE,0001781983,"Aprea Therapeutics, Inc.",2026-03-30,0001104659-26-036821,2026-04-27T22:50:37Z
spinoff,CGEH,0001009759,"Capstone Green Energy Holdings, Inc.",2026-03-30,0001104659-26-036455,2026-04-27T22:50:37Z
spinoff,AHT,0001232582,ASHFORD HOSPITALITY TRUST INC,2026-03-30,0001232582-26-000076,2026-04-27T22:50:37Z
spinoff,AEI,0001750106,Alset Inc.,2026-03-30,0001493152-26-013661,2026-04-27T22:50:37Z
special_dividend,JBSS,0000880117,SANFILIPPO JOHN B & SON INC,2026-03-30,0001193125-26-131798,2026-04-27T22:50:37Z
special_dividend,BRBS,0000842717,"BLUE RIDGE BANKSHARES, INC.",2026-03-30,0001193125-26-131867,2026-04-27T22:50:37Z
warrant_exercise,GLND,0002093507,Greenland Energy Co,2026-03-27,0001829126-26-002797,2026-04-27T22:50:37Z
warrant_exercise,BWIV,0002082847,Blue Water Acquisition Corp. IV,2026-03-27,0001493152-26-013223,2026-04-27T22:50:37Z
spinoff,PLUR,0001158780,Pluri Inc.,2026-03-27,0001213900-26-035110,2026-04-27T22:50:37Z
spinoff,ANAB,0001370053,"ANAPTYSBIO, INC",2026-03-27,0001193125-26-127783,2026-04-27T22:50:37Z
warrant_exercise,ATLN,0001605888,ATLANTIC INTERNATIONAL CORP.,2026-03-26,0001213900-26-034808,2026-04-27T22:50:37Z
spinoff,VANI,0001266806,"Vivani Medical, Inc.",2026-03-26,0001753926-26-000550,2026-04-27T22:50:37Z
spinoff,ATLN,0001605888,ATLANTIC INTERNATIONAL CORP.,2026-03-26,0001213900-26-034808,2026-04-27T22:50:37Z
warrant_exercise,NXTT,0001784970,Next Technology Holding Inc.,2026-03-25,0001213900-26-033875,2026-04-27T22:50:37Z
warrant_exercise,BWIV,0002082847,Blue Water Acquisition Corp. IV,2026-03-25,0001493152-26-012684,2026-04-27T22:50:37Z
spinoff,THRM,0000903129,Gentherm Inc,2026-03-25,0001193125-26-122833,2026-04-27T22:50:37Z
spinoff,MIDD,0000769520,MIDDLEBY Corp,2026-03-25,0001193125-26-122831,2026-04-27T22:50:37Z
spinoff,FDP,0001047340,FRESH DEL MONTE PRODUCE INC,2026-03-25,0001193125-26-124060,2026-04-27T22:50:37Z
spinoff,BURU,0001814215,"Nuburu, Inc.",2026-03-25,0001193125-26-124344,2026-04-27T22:50:37Z
special_dividend,,,TPG Twin Brook Capital Income Fund  (CIK 000191372,2026-03-25,0001628280-26-021024,2026-04-27T22:50:37Z
warrant_exercise,STI,0001881551,Solidion Technology Inc.,2026-03-24,0001213900-26-033616,2026-04-27T22:50:37Z
warrant_exercise,MPTI,0001902314,"M-tron Industries, Inc.",2026-03-24,0001437749-26-009642,2026-04-27T22:50:37Z
warrant_exercise,ALBT,0001630212,Avalon GloboCare Corp.,2026-03-24,0001213900-26-033624,2026-04-27T22:50:37Z
spinoff,VGNT,0002078008,Versigent Ltd,2026-03-24,0000950142-26-000815,2026-04-27T22:50:37Z
spinoff,IAUX,0001853962,i-80 Gold Corp.,2026-03-24,0001193125-26-122181,2026-04-27T22:50:37Z
spinoff,CLSK,0000827876,"CLEANSPARK, INC.",2026-03-24,0001193125-26-122201,2026-04-27T22:50:37Z
special_dividend,CLSK,0000827876,"CLEANSPARK, INC.",2026-03-24,0001193125-26-122201,2026-04-27T22:50:37Z
warrant_exercise,TPST,0001544227,"Tempest Therapeutics, Inc.",2026-03-23,0001193125-26-118618,2026-04-27T22:50:37Z
warrant_exercise,SER,0001708599,"Serina Therapeutics, Inc.",2026-03-23,0001708599-26-000010,2026-04-27T22:50:37Z
warrant_exercise,RNXT,0001574094,"RenovoRx, Inc.",2026-03-23,0001493152-26-012058,2026-04-27T22:50:37Z
warrant_exercise,NTHI,0001979414,"NEONC TECHNOLOGIES HOLDINGS, INC.",2026-03-23,0001829126-26-002610,2026-04-27T22:50:37Z
spinoff,RNXT,0001574094,"RenovoRx, Inc.",2026-03-23,0001493152-26-012058,2026-04-27T22:50:37Z
spinoff,HON,0000773840,HONEYWELL INTERNATIONAL INC,2026-03-23,0001193125-26-118101,2026-04-27T22:50:37Z
warrant_exercise,XXII,0001347858,"22nd Century Group, Inc.",2026-03-20,0001493152-26-011967,2026-04-27T22:50:37Z
warrant_exercise,SLE,0001621672,"Super League Enterprise, Inc.",2026-03-20,0001437749-26-009204,2026-04-27T22:50:37Z
warrant_exercise,CYCU,0001868419,"Cycurion, Inc.",2026-03-20,0001628280-26-020151,2026-04-27T22:50:37Z
spinoff,APTV,0001521332,Aptiv PLC,2026-03-20,0000950103-26-004474,2026-04-27T22:50:37Z
special_dividend,APTV,0001521332,Aptiv PLC,2026-03-20,0000950103-26-004474,2026-04-27T22:50:37Z
warrant_exercise,RVPH,0001742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.",2026-03-19,0001437749-26-009063,2026-04-27T22:50:37Z
warrant_exercise,DVLT,0001682149,Datavault AI Inc.,2026-03-19,0001104659-26-031736,2026-04-27T22:50:37Z
spinoff,INBX,0002007919,"Inhibrx Biosciences, Inc.",2026-03-19,0002007919-26-000007,2026-04-27T22:50:37Z
spinoff,FDX,0001048911,FEDEX CORP,2026-03-19,0001048911-26-000010,2026-04-27T22:50:37Z
special_dividend,SMA,0001585389,"SmartStop Self Storage REIT, Inc.",2026-03-19,0001193125-26-116245,2026-04-27T22:50:37Z
