ticker,company,cik,q_current,val_current_usd,q_prior,val_prior_usd,yoy_pct,direction,filed_current,accn_current,captured_at
ASYS,"AMTECH SYSTEMS, INC.",0000720500,CY2025Q4,108000,CY2024Q4,312000,-65.38,PROFIT,,0001193125-26-039360,2026-04-27T23:04:08Z
AI,"C3.ai, Inc.",0001577526,CY2025Q4,-133363000,CY2024Q4,-80201000,-66.29,LOSS,,0001577526-26-000024,2026-04-27T23:04:08Z
PXED,"Phoenix Education Partners, Inc.",0001600222,CY2025Q4,15454000,CY2024Q4,46416000,-66.71,PROFIT,,0001193125-26-011745,2026-04-27T23:04:08Z
RGR,"STURM, RUGER & COMPANY, INC.",0000095029,CY2025Q4,3485000,CY2024Q4,10477000,-66.74,PROFIT,,0001174947-26-000243,2026-04-27T23:04:08Z
MIDD,THE MIDDLEBY CORPORATION,0000769520,CY2025Q4,36939000,CY2024Q4,112304000,-67.11,PROFIT,,0000769520-26-000011,2026-04-27T23:04:08Z
ATKR,Atkore Inc.,0001666138,CY2025Q4,15034000,CY2024Q4,46336000,-67.55,PROFIT,,0001628280-26-004734,2026-04-27T23:04:08Z
OPTT,"OCEAN POWER TECHNOLOGIES, INC.",0001378140,CY2025Q4,-11366000,CY2024Q4,-6720000,-69.14,LOSS,,0001493152-26-010556,2026-04-27T23:04:08Z
EA,ELECTRONIC ARTS INC.,0000712515,CY2025Q4,88000000,CY2024Q4,293000000,-69.97,PROFIT,,0001628280-26-005101,2026-04-27T23:04:08Z
ARRT,"ARTISAN CONSUMER GOODS, INC.",0001530425,CY2025Q4,-3960,CY2024Q4,-2328,-70.10,LOSS,,0001477932-26-000847,2026-04-27T23:04:08Z
OPXS,"OPTEX SYSTEMS HOLDINGS, INC.",0001397016,CY2025Q4,242000,CY2024Q4,844000,-71.33,PROFIT,,0001493152-26-006128,2026-04-27T23:04:08Z
ARKR,ARK RESTAURANTS CORP.,0000779544,CY2025Q4,896000,CY2024Q4,3164000,-71.68,PROFIT,,0000779544-26-000012,2026-04-27T23:04:08Z
FWFW,"FLYWHEEL     ADVANCED TECHNOLOGY, INC.",0001492617,CY2025Q4,-45997,CY2024Q4,-26713,-72.19,LOSS,,0001493152-26-006511,2026-04-27T23:04:08Z
KMFG,KEEMO FASHION GROUP LIMITED,0001935033,CY2025Q4,-17803,CY2024Q4,-10254,-73.62,LOSS,,0001493152-26-010162,2026-04-27T23:04:08Z
KTCC,KEY TRONIC CORPORATION,0000719733,CY2025Q4,-8570000,CY2024Q4,-4914000,-74.40,LOSS,,0000719733-26-000008,2026-04-27T23:04:08Z
TRT,TRIO-TECH INTERNATIONAL,0000732026,CY2025Q4,126000,CY2024Q4,507000,-75.15,PROFIT,,0001437749-26-004010,2026-04-27T23:04:08Z
TSN,"TYSON FOODS, INC.",0000100493,CY2025Q4,85000000,CY2024Q4,359000000,-76.32,PROFIT,,0000100493-26-000007,2026-04-27T23:04:08Z
MUR,MURPHY OIL CORPORATION,0000717423,CY2025Q4,11900000,CY2024Q4,50300000,-76.34,PROFIT,,0001628280-26-011709,2026-04-27T23:04:08Z
IIIV,"i3 Verticals, Inc.",0001728688,CY2025Q4,484000,CY2024Q4,2056000,-76.46,PROFIT,,0001728688-26-000020,2026-04-27T23:04:08Z
SNPS,SYNOPSYS INC,0000883241,CY2025Q4,64958000,CY2024Q4,295683000,-78.03,PROFIT,,0000883241-26-000014,2026-04-27T23:04:08Z
KLIC,"KULICKE AND SOFFA INDUSTRIES, INC.",0000056978,CY2025Q4,16796000,CY2024Q4,81642000,-79.43,PROFIT,,0000056978-26-000012,2026-04-27T23:04:08Z
VPLM,VoIP-PAL.COM INC.,0001410738,CY2025Q4,-919653,CY2024Q4,-511740,-79.71,LOSS,,0001493152-26-006474,2026-04-27T23:04:08Z
GLAD,GLADSTONE CAPITAL CORP,0001143513,CY2025Q4,5454000,CY2024Q4,26975000,-79.78,PROFIT,,0001143513-26-000004,2026-04-27T23:04:08Z
RYES,RISE GOLD CORP.,0001424864,CY2025Q4,-1234240,CY2024Q4,-686333,-79.83,LOSS,,0001062993-26-001479,2026-04-27T23:04:08Z
SMG,Scotts Miracle-Gro Co,0000825542,CY2025Q4,-125000000,CY2024Q4,-69500000,-79.86,LOSS,,0000825542-26-000008,2026-04-27T23:04:08Z
CSPI,CSP Inc,0000356037,CY2025Q4,91000,CY2024Q4,472000,-80.72,PROFIT,,0000356037-26-000008,2026-04-27T23:04:08Z
TRXA,T-REX Acquisition Corp.,0001437750,CY2025Q4,-755902,CY2024Q4,-417427,-81.09,LOSS,,0001477932-26-000986,2026-04-27T23:04:08Z
GPOX,"GPO PLUS, INC.",0001673475,CY2025Q4,-748137,CY2024Q4,-409331,-82.77,LOSS,,0001640334-26-000407,2026-04-27T23:04:08Z
JJSF,J&J SNACK FOODS CORP.,0000785956,CY2025Q4,883000,CY2024Q4,5143000,-82.83,PROFIT,,0001437749-26-003214,2026-04-27T23:04:08Z
BLNH,BLUE LINE HOLDINGS INC.,0002029586,CY2025Q4,-38312,CY2024Q4,-20930,-83.05,LOSS,,0001493152-26-004819,2026-04-27T23:04:08Z
CVGW,"CALAVO GROWERS, INC.",0001133470,CY2025Q4,732000,CY2024Q4,4415000,-83.42,PROFIT,,0001104659-26-027142,2026-04-27T23:04:08Z
AIHS,SENMIAO TECHNOLOGY LIMITED,0001711012,CY2025Q4,-1037229,CY2024Q4,-565315,-83.48,LOSS,,0001213900-26-016397,2026-04-27T23:04:08Z
