week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Kentucky,74.8,3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,70.8,40977,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,South Carolina,98.0,-97,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Delaware,72.0,14,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Alabama,76.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,44.25,2147483647,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York City,37.5,184,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Maryland,85.2,-38,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,54.2,1553,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,39.75,58,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Minnesota,55.0,122,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Jersey,38.0,100346,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,28.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,91.6,-17,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Idaho,62.286,20,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Hawaii,79.8,-1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Maine,58.4,-2,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Connecticut,74.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Georgia,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Michigan,6.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,27.667,10279,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,30.0,208,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,89.4,755,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,69.0,497,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,20.667,-44,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,59.286,-9,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,71.6,45,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,42.5,-67,2026-04-27T23:12:20Z
